report_month,row_no,machine_name,machine_location,machine_quantity,machine_power_watt,machine_power_kw,usage_hours,energy_kwh
2025-02,1,Mesin Coding,Production,1,1000,1,14,14
2025-02,2,Mesin Shrink Tunnel,Production,1,20000,20,14,280
2025-02,3,Mesin Mixing Homogenizer,Production,1,4000,4,14,56
2025-02,4,Mesin Mixing 250 kg Ribbon,Production,1,10000,10,14,140
2025-02,5,AC,Production,1,550,0.55,0,0
2025-02,6,Heat Gun,Production,1,900,0.9,0,0
2025-02,7,Genset,Production,1,80000,80,5,400
2025-02,8,Mesin Kompresor,Production,1,15000,15,14,210
2025-02,9,Mesin Conveyor,Production,1,1500,1.5,14,21
2025-02,10,Mesin Band Sealer,Production,1,650,0.65,14,9.1
